member_name,strategy_type,priority,query,url
三浦　猛,direct_search,high,"""三浦　猛"" 市議 -RT",https://x.com/search?q=%22%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
三浦　猛,direct_search,high,"""三浦　猛"" 東久留米市 議員",https://x.com/search?q=%22%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B%22%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
三浦　猛,direct_search,high,三浦猛 プロフィール 市議,https://x.com/search?q=%E4%B8%89%E6%B5%A6%E7%8C%9B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
三浦　猛,party_search,medium,公明党 東久留米市 三浦,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E4%B8%89%E6%B5%A6&f=user
三浦　猛,party_search,medium,"""公明党"" メンバー 三浦　猛",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B&f=user
三浦　猛,election_search,low,三浦　猛 当選 東久留米市,https://x.com/search?q=%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B%20%E5%BD%93%E9%81%B8%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82&f=user
三浦　猛,election_search,low,#東久留米市選挙 三浦　猛,https://x.com/search?q=%23%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B&f=user
三浦　猛,election_search,low,三浦　猛 選挙ポスター,https://x.com/search?q=%E4%B8%89%E6%B5%A6%E3%80%80%E7%8C%9B%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
引間　太一,direct_search,high,"""引間　太一"" 市議 -RT",https://x.com/search?q=%22%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
引間　太一,direct_search,high,"""引間　太一"" 東久留米市 議員",https://x.com/search?q=%22%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80%22%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
引間　太一,direct_search,high,引間太一 プロフィール 市議,https://x.com/search?q=%E5%BC%95%E9%96%93%E5%A4%AA%E4%B8%80%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
引間　太一,party_search,medium,ニューウェーブ 東久留米市 引間,https://x.com/search?q=%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E5%BC%95%E9%96%93&f=user
引間　太一,party_search,medium,"""ニューウェーブ"" メンバー 引間　太一",https://x.com/search?q=%22%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80&f=user
引間　太一,election_search,low,引間　太一 当選 東久留米市,https://x.com/search?q=%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80%20%E5%BD%93%E9%81%B8%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82&f=user
引間　太一,election_search,low,#東久留米市選挙 引間　太一,https://x.com/search?q=%23%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80&f=user
引間　太一,election_search,low,引間　太一 選挙ポスター,https://x.com/search?q=%E5%BC%95%E9%96%93%E3%80%80%E5%A4%AA%E4%B8%80%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
佐藤　一郎,direct_search,high,"""佐藤　一郎"" 市議 -RT",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E4%B8%80%E9%83%8E%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
佐藤　一郎,direct_search,high,"""佐藤　一郎"" 東久留米市 議員",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E4%B8%80%E9%83%8E%22%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
佐藤　一郎,direct_search,high,佐藤一郎 プロフィール 市議,https://x.com/search?q=%E4%BD%90%E8%97%A4%E4%B8%80%E9%83%8E%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
佐藤　一郎,party_search,medium,東久留米維新の会 東久留米市 佐藤,https://x.com/search?q=%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E7%B6%AD%E6%96%B0%E3%81%AE%E4%BC%9A%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%20%E4%BD%90%E8%97%A4&f=user
佐藤　一郎,party_search,medium,"""東久留米維新の会"" メンバー 佐藤　一郎",https://x.com/search?q=%22%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E7%B6%AD%E6%96%B0%E3%81%AE%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%BD%90%E8%97%A4%E3%80%80%E4%B8%80%E9%83%8E&f=user
佐藤　一郎,election_search,low,佐藤　一郎 当選 東久留米市,https://x.com/search?q=%E4%BD%90%E8%97%A4%E3%80%80%E4%B8%80%E9%83%8E%20%E5%BD%93%E9%81%B8%20%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82&f=user
佐藤　一郎,election_search,low,#東久留米市選挙 佐藤　一郎,https://x.com/search?q=%23%E6%9D%B1%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%BD%90%E8%97%A4%E3%80%80%E4%B8%80%E9%83%8E&f=user
